"GEO_ID","NAME","B01003_001E","B01003_001M","B01003_001MA","B01003_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"0500000US13135","Gwinnett County, Georgia","936250","*****","*****","null",
"0500000US13139","Hall County, Georgia","204441","*****","*****","null",
"0500000US13151","Henry County, Georgia","234561","*****","*****","null",
"0500000US13153","Houston County, Georgia","157863","*****","*****","null",
"0500000US13157","Jackson County, Georgia","72977","*****","*****","null",
"0500000US13185","Lowndes County, Georgia","117406","*****","*****","null",
"0500000US13215","Muscogee County, Georgia","195769","*****","*****","null",
"0500000US13217","Newton County, Georgia","111744","*****","*****","null",
"0500000US13223","Paulding County, Georgia","168667","*****","*****","null",
"0500000US13245","Richmond County, Georgia","202518","*****","*****","null",
"0500000US13247","Rockdale County, Georgia","90896","*****","*****","null",
"0500000US13255","Spalding County, Georgia","66703","*****","*****","null",
"0500000US13285","Troup County, Georgia","69922","*****","*****","null",
"0500000US13295","Walker County, Georgia","69761","*****","*****","null",
"0500000US13297","Walton County, Georgia","94593","*****","*****","null",
"0500000US13313","Whitfield County, Georgia","104628","*****","*****","null",
"0500000US15001","Hawaii County, Hawaii","201513","*****","*****","null",
"0500000US15003","Honolulu County, Hawaii","974563","*****","*****","null",
"0500000US15007","Kauai County, Hawaii","72293","*****","*****","null",
"0500000US15009","Maui County, Hawaii","167488","20","null","null",
"0500000US16001","Ada County, Idaho","481587","*****","*****","null",
"0500000US16005","Bannock County, Idaho","87808","*****","*****","null",
"0500000US16019","Bonneville County, Idaho","119062","*****","*****","null",
"0500000US16027","Canyon County, Idaho","229849","*****","*****","null",
"0500000US16055","Kootenai County, Idaho","165697","*****","*****","null",
"0500000US16083","Twin Falls County, Idaho","86878","*****","*****","null",
"0500000US17001","Adams County, Illinois","65435","*****","*****","null",
"0500000US17019","Champaign County, Illinois","209689","*****","*****","null",
"0500000US17031","Cook County, Illinois","5150233","*****","*****","null",
"0500000US17037","DeKalb County, Illinois","104897","*****","*****","null",
"0500000US17043","DuPage County, Illinois","922921","*****","*****","null",
"0500000US17089","Kane County, Illinois","532403","*****","*****","null",
"0500000US17091","Kankakee County, Illinois","109862","*****","*****","null",
"0500000US17093","Kendall County, Illinois","128990","*****","*****","null",
"0500000US17097","Lake County, Illinois","696535","*****","*****","null",
"0500000US17099","LaSalle County, Illinois","108669","*****","*****","null",
"0500000US17111","McHenry County, Illinois","307774","*****","*****","null",
"0500000US17113","McLean County, Illinois","171517","*****","*****","null",
"0500000US17115","Macon County, Illinois","104009","*****","*****","null",
"0500000US17119","Madison County, Illinois","262966","*****","*****","null",
"0500000US17143","Peoria County, Illinois","179179","*****","*****","null",
"0500000US17161","Rock Island County, Illinois","141879","*****","*****","null",
"0500000US17163","St. Clair County, Illinois","259686","*****","*****","null",
"0500000US17167","Sangamon County, Illinois","194672","*****","*****","null",
"0500000US17179","Tazewell County, Illinois","131803","*****","*****","null",
"0500000US17183","Vermilion County, Illinois","75758","*****","*****","null",
"0500000US17197","Will County, Illinois","690743","*****","*****","null",
"0500000US17199","Williamson County, Illinois","66597","*****","*****","null",
"0500000US17201","Winnebago County, Illinois","282572","*****","*****","null",
"0500000US18003","Allen County, Indiana","379299","*****","*****","null",
"0500000US18005","Bartholomew County, Indiana","83779","*****","*****","null",
"0500000US18011","Boone County, Indiana","67843","*****","*****","null",
"0500000US18019","Clark County, Indiana","118302","*****","*****","null",
"0500000US18035","Delaware County, Indiana","114135","*****","*****","null",
"0500000US18039","Elkhart County, Indiana","206341","*****","*****","null",
"0500000US18043","Floyd County, Indiana","78522","*****","*****","null",
"0500000US18053","Grant County, Indiana","65769","*****","*****","null",
"0500000US18057","Hamilton County, Indiana","338011","*****","*****","null",
"0500000US18059","Hancock County, Indiana","78168","*****","*****","null",
"0500000US18063","Hendricks County, Indiana","170311","*****","*****","null",
"0500000US18067","Howard County, Indiana","82544","*****","*****","null",
"0500000US18081","Johnson County, Indiana","158167","*****","*****","null",
"0500000US18085","Kosciusko County, Indiana","79456","*****","*****","null",
"0500000US18089","Lake County, Indiana","485493","*****","*****","null",
"0500000US18091","LaPorte County, Indiana","109888","*****","*****","null",
"0500000US18095","Madison County, Indiana","129569","*****","*****","null",
"0500000US18097","Marion County, Indiana","964582","*****","*****","null",
"0500000US18105","Monroe County, Indiana","148431","*****","*****","null",
"0500000US18109","Morgan County, Indiana","70489","*****","*****","null",
"0500000US18127","Porter County, Indiana","170389","*****","*****","null",
"0500000US18141","St. Joseph County, Indiana","271826","*****","*****","null",
"0500000US18157","Tippecanoe County, Indiana","195732","*****","*****","null",
"0500000US18163","Vanderburgh County, Indiana","181451","*****","*****","null",
"0500000US18167","Vigo County, Indiana","107038","*****","*****","null",
"0500000US18177","Wayne County, Indiana","65884","*****","*****","null",
"0500000US19013","Black Hawk County, Iowa","131228","*****","*****","null",
"0500000US19049","Dallas County, Iowa","93453","*****","*****","null",
"0500000US19061","Dubuque County, Iowa","97311","*****","*****","null",
"0500000US19103","Johnson County, Iowa","151140","*****","*****","null",
"0500000US19113","Linn County, Iowa","226706","*****","*****","null",
