ACSSF,2010e1,al,000,0043,0000047,36571,499,1228,832,4108,4706,5965,5602,4367,1494,1682,841,297,1941,3009,36571,921,6302,5719,10887,6379,1629,1398,124,805,1412,995,0,36571,499,1228,832,4108,4706,5965,5602,4367,1494,7770,36571,7223,5719,10887,6379,1629,1398,929,1412,995
ACSSF,2010e1,al,000,0043,0000048,264267,17854,12682,14796,29057,32681,43595,32867,17638,8973,12647,5254,1685,16120,18418,264267,7501,23981,37194,43388,45423,16653,39398,5861,8801,18301,11763,6003,264267,17854,12682,14796,29057,32681,43595,32867,17638,8973,54124,264267,31482,37194,43388,45423,16653,39398,14662,18301,17766
ACSSF,2010e1,al,000,0043,0000049,275092,13715,10772,16541,28153,34705,50131,36547,17682,6049,9829,6144,2308,18781,23735,275092,9644,33467,43884,50058,40867,15709,37861,5799,6639,16517,10069,4578,275092,13715,10772,16541,28153,34705,50131,36547,17682,6049,60797,275092,43111,43884,50058,40867,15709,37861,12438,16517,14647
ACSSF,2010e1,al,000,0043,0000050,255929,13710,13833,16367,24505,27428,39199,32244,18536,10212,11714,5451,3496,20173,19061,255929,9980,26590,41175,44478,39356,18588,32442,8288,5491,15169,9309,5063,255929,13710,13833,16367,24505,27428,39199,32244,18536,10212,59895,255929,36570,41175,44478,39356,18588,32442,13779,15169,14372
ACSSF,2010e1,al,000,0043,0000051,239829,17238,17170,18875,23233,27889,38890,24330,16531,4693,8077,3988,2621,19660,16634,239829,7957,27307,32545,40440,27822,12139,29700,8169,6970,25194,14136,7450,239829,17238,17170,18875,23233,27889,38890,24330,16531,4693,50980,239829,35264,32545,40440,27822,12139,29700,15139,25194,21586
ACSSF,2010e1,al,000,0043,0000052,304034,12436,13979,19422,32333,36059,50252,39859,24332,11857,14759,8084,3280,19140,18242,304034,8943,31493,46886,57044,52272,20983,39184,7369,10087,16775,9099,3899,304034,12436,13979,19422,32333,36059,50252,39859,24332,11857,63505,304034,40436,46886,57044,52272,20983,39184,17456,16775,12998
ACSSF,2010e1,al,000,0043,0000053,329345,13949,14434,16442,34413,38145,62090,48107,30938,12880,17158,5935,2271,18285,14298,329345,8183,24212,39672,50399,52065,21314,57308,13343,11660,31585,13128,6476,329345,13949,14434,16442,34413,38145,62090,48107,30938,12880,57947,329345,32395,39672,50399,52065,21314,57308,25003,31585,19604
ACSSF,2010e1,al,000,0043,0000054,227491,11941,9893,10126,25774,26101,34224,29150,20687,7794,9086,4942,2176,15649,19948,227491,6843,22626,33368,44765,44080,11897,28701,4803,6512,12166,8771,2959,227491,11941,9893,10126,25774,26101,34224,29150,20687,7794,51801,227491,29469,33368,44765,44080,11897,28701,11315,12166,11730
ACSSF,2010e1,al,000,0043,0000055,58674,2587,2631,3249,7222,6463,9655,7329,4527,2187,2204,1115,476,4842,4187,58674,1931,7230,10294,10320,5539,2540,8526,1560,1958,4148,3388,1240,58674,2587,2631,3249,7222,6463,9655,7329,4527,2187,12824,58674,9161,10294,10320,5539,2540,8526,3518,4148,4628
ACSSF,2010e1,al,000,0043,0000056,78695,2205,2660,3160,6974,8409,12620,10625,8060,4081,6520,3101,635,5204,4441,78695,1999,10026,12749,22469,16145,3793,6650,478,766,1691,816,1113,78695,2205,2660,3160,6974,8409,12620,10625,8060,4081,19901,78695,12025,12749,22469,16145,3793,6650,1244,1691,1929
ACSSF,2010e1,al,000,0043,0000057,105082,4281,5206,7371,11080,14531,20759,15622,6779,3694,3066,1991,1520,4651,4531,105082,2390,6577,12279,16404,23243,11334,17099,3138,3652,5830,2520,616,105082,4281,5206,7371,11080,14531,20759,15622,6779,3694,15759,105082,8967,12279,16404,23243,11334,17099,6790,5830,3136
ACSSF,2010e1,al,000,0043,0000058,47428,3702,3548,4224,4360,4817,7303,4681,2812,983,2190,1470,92,3804,3442,47428,2111,5896,7351,6849,5650,3696,5844,1181,1362,4236,1899,1353,47428,3702,3548,4224,4360,4817,7303,4681,2812,983,10998,47428,8007,7351,6849,5650,3696,5844,2543,4236,3252
ACSSF,2010e1,al,000,0043,0000059,73274,4348,5672,5829,6694,8375,13569,6536,5301,1510,2361,1233,953,6173,4720,73274,3394,9742,11440,11644,8219,2558,7173,2605,1735,7959,4338,2467,73274,4348,5672,5829,6694,8375,13569,6536,5301,1510,15440,73274,13136,11440,11644,8219,2558,7173,4340,7959,6805
ACSSF,2010e1,al,000,0043,0000060,62818,2839,2642,5057,6661,7747,8207,7432,6172,1962,2477,1215,751,4581,5075,62818,1944,7008,10415,8409,7684,4114,8661,3215,3589,5466,1772,541,62818,2839,2642,5057,6661,7747,8207,7432,6172,1962,14099,62818,8952,10415,8409,7684,4114,8661,6804,5466,2313
ACSSF,2010e1,al,000,0043,0000061,44329,3311,3873,3556,5386,5435,6881,4886,1985,314,1410,330,124,4165,2673,44329,1947,6551,5362,6903,4002,1661,6554,1092,1950,3770,2339,2198,44329,3311,3873,3556,5386,5435,6881,4886,1985,314,8702,44329,8498,5362,6903,4002,1661,6554,3042,3770,4537
