ACSSF,2010e1,al,000,0154,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38644,27957,3421,243,694,514,141,266,695,450,108,310,15826,1080,1324,3644,2182,2562,2183,1846,535,470,8710,193,484,1376,532,1725,2002,904,787,707,10687,4713,192,47,772,1676,553,127,1041,93,212,4281,422,179,689,498,769,701,310,322,391,1693,0,137,295,348,263,255,67,175,153
ACSSF,2010e1,al,000,0154,0000022,55073,35050,7762,4543,331,222,0,9,2657,14536,11314,263,474,31,0,2454,5525,4419,0,30,0,0,1076,4890,4147,29,0,0,0,714,2337,1918,0,0,0,0,419,20023,7703,1452,1141,1927,1098,864,1221,4858,1460,754,1663,218,128,635,2943,1059,446,1169,73,13,183,2334,1161,415,145,59,106,448,2185,1067,185,244,62,30,597,55073,35050,6637,4110,487,643,31,9,1357,21276,16180,38,83,0,0,4975,7137,6051,98,0,0,0,988,20023,12046,3085,2020,3511,1192,720,1518,6409,2708,613,1219,256,336,1277,1568,406,308,418,62,85,289,55073,35050,6637,1882,1302,2061,697,333,208,50,44,60,21276,2682,2704,7051,2923,2848,1163,592,810,503,7137,413,787,1423,588,1978,721,775,357,95,20023,12046,1063,2048,3497,1670,2013,826,632,171,126,6409,604,1562,1482,1089,978,222,113,143,216,1568,111,158,534,355,208,39,44,54,65
ACSSF,2010e1,al,000,0154,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31395,25138,3459,1419,595,435,807,79,0,88,0,36,16136,3275,1623,4041,3274,1554,1503,424,285,157,5543,642,311,1114,751,941,689,752,183,160,6257,1983,40,89,508,600,437,0,64,28,217,3289,113,0,419,981,649,469,241,67,350,985,0,47,145,292,83,123,76,145,74
ACSSF,2010e1,al,000,0154,0000024,129367,91760,23265,20730,545,512,0,0,1478,32672,30868,227,217,0,0,1360,17374,16587,0,0,0,0,787,12795,12347,61,194,0,0,193,5654,5068,0,0,0,0,586,37607,17655,3401,2676,6415,2116,2259,788,9821,4098,2095,2425,180,381,642,4648,2083,837,1114,224,334,56,3263,1362,361,536,322,61,621,2220,1180,261,340,0,0,439,129367,91760,11116,10175,189,110,0,0,642,58696,54314,529,736,0,0,3117,21948,21111,115,77,0,0,645,37607,16024,2619,2993,6419,1923,945,1125,17764,7732,3032,4005,839,876,1280,3819,1773,205,406,80,1214,141,129367,91760,11116,2401,1160,1795,1499,1517,1930,377,205,232,58696,6409,7178,15126,10772,5323,7737,3755,1355,1041,21948,1023,1297,3110,3425,3331,6661,2048,603,450,37607,16024,2134,1036,2600,4166,2349,1922,895,159,763,17764,1256,1199,1945,4104,3023,2326,1738,1258,915,3819,289,463,346,706,840,587,388,0,200
ACSSF,2010e1,al,000,0154,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35024,24796,3180,242,387,1173,372,470,492,44,0,0,14475,1112,1632,3514,2897,2210,1592,567,341,610,7141,188,384,1694,990,1109,1354,898,271,253,10228,3532,63,70,739,253,828,857,264,228,230,4714,305,114,773,508,886,430,689,585,424,1982,338,77,461,106,286,60,239,153,262
ACSSF,2010e1,al,000,0154,0000026,153676,103152,26081,23985,158,72,0,0,1866,36134,33275,0,53,0,0,2806,17490,16392,38,60,0,0,1000,14768,13656,0,0,0,0,1112,8679,7254,0,0,0,0,1425,50524,20021,6459,3547,5383,1041,1842,1749,13301,5801,1752,3442,443,643,1220,8236,4695,806,1305,389,251,790,4536,3579,261,379,95,84,138,4430,3358,94,481,0,42,455,153676,103152,12983,11845,43,0,0,0,1095,62631,57330,95,132,0,0,5074,27538,25387,58,53,0,0,2040,50524,18174,7023,2697,5410,1055,824,1165,26859,14436,3085,4622,600,1175,2941,5491,2433,678,958,313,863,246,153676,103152,12983,2084,2175,1861,1657,2067,1247,1082,522,288,62631,4644,5031,9984,10504,13351,7570,6123,2271,3153,27538,820,1230,2871,3057,6230,5740,4379,1353,1858,50524,18174,1061,924,2947,2315,5973,2331,1447,866,310,26859,1616,1468,3763,2179,6612,3740,3999,1471,2011,5491,936,485,249,318,1332,862,762,358,189
ACSSF,2010e1,al,000,0154,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88176,52533,5628,5071,33,0,0,0,524,31181,30192,291,60,0,0,638,15724,15016,54,0,0,0,654,35643,15355,4827,2971,5759,1185,437,176,17094,9658,2441,3621,461,417,496,3194,1259,310,650,383,533,59,88176,52533,5628,818,788,1222,457,597,672,616,44,414,31181,2669,2034,7021,3611,7506,3274,2829,819,1418,15724,369,844,2049,2794,3262,2971,2128,489,818,35643,15355,1543,922,2425,2828,2721,1421,1595,982,918,17094,566,925,3012,2841,2990,1598,2258,1190,1714,3194,58,227,348,548,829,187,497,213,287
ACSSF,2010e1,al,000,0154,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45606,33280,3195,2822,0,0,0,0,373,20462,18575,0,0,0,0,1887,9623,8873,0,0,0,0,750,12326,4361,1351,874,1066,208,128,734,6368,2790,998,1377,251,342,610,1597,295,104,661,174,293,70,45606,33280,3195,409,439,468,348,271,483,529,84,164,20462,1435,2220,4259,4466,3282,1655,1470,366,1309,9623,704,654,2114,727,1343,2144,936,265,736,12326,4361,396,70,1717,447,841,219,507,0,164,6368,47,204,1469,1074,1350,448,658,486,632,1597,55,70,452,472,186,136,98,108,20
ACSSF,2010e1,al,000,0154,0000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0154,0000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72588,57836,7929,2044,1994,2051,887,784,71,98,0,0,38604,5505,7098,12325,7449,4253,1044,333,61,536,11303,916,1597,3894,1504,1503,873,680,227,109,14752,6280,554,265,1773,2316,862,298,212,0,0,7171,520,492,1603,2576,1116,456,225,0,183,1301,382,137,261,93,307,57,0,0,64
ACSSF,2010e1,al,000,0154,0000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30119,20436,1502,75,201,575,213,110,95,79,154,0,13368,892,1306,3246,1783,2608,1091,1397,337,708,5566,146,327,565,494,1042,880,822,567,723,9683,2521,40,0,214,797,905,213,159,0,193,5812,114,129,988,1388,302,1186,631,496,578,1350,53,110,149,262,188,265,110,109,104
ACSSF,2010e1,al,000,0154,0000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66583,43295,5710,4861,233,0,0,0,616,26342,22555,0,72,0,0,3715,11243,9894,0,55,0,57,1237,23288,12335,2398,1476,5168,1085,974,1234,8528,3930,1045,1841,369,478,865,2425,958,500,526,0,330,111,66583,43295,5710,1487,1543,912,863,291,326,137,51,100,26342,2739,3055,6361,4396,4178,2519,1671,760,663,11243,849,655,1862,1681,1842,1684,1562,392,716,23288,12335,2050,2359,2416,1660,1861,732,691,372,194,8528,1127,1037,1023,1316,1631,1185,314,611,284,2425,416,226,463,451,312,241,93,47,176
ACSSF,2010e1,al,000,0154,0000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23830,18436,1602,443,256,148,248,256,23,22,15,191,10791,620,1262,2203,2064,1864,611,668,806,693,6043,106,458,1091,477,1081,897,864,663,406,5394,1666,0,47,555,328,194,124,163,0,255,2882,259,286,450,501,493,207,400,216,70,846,85,0,113,162,182,22,50,52,180
