ACSSF,2010e1,al,000,0055,0000046,,,,,,,,,,,,,,,,,,,,73068,16040,954,677,803,631,586,1054,362,1042,712,721,755,525,1142,407,4463,1206,57028,,,,,,,,,,,,,,,,,,,,,,,,,,,73068,16040,1631,5911,2829,5669,57028,7509,1778,703,854,89,132,5731
ACSSF,2010e1,al,000,0055,0000047,,,,,,,,,,,,,,,,,,,,44891,18474,556,456,395,111,346,414,169,248,445,558,116,316,0,55,12609,1680,26417,,,,,,,,,,,,,,,,,,,,,,,,,,,44891,18474,1012,2686,487,14289,26417,,,,,,,
ACSSF,2010e1,al,000,0055,0000048,,,,,,,,,,,,,,,,,,,,435348,101614,5103,6822,4545,6524,3088,5939,7045,5893,6744,4199,4486,6854,5003,5376,20424,3569,333734,18136,5039,302,406,173,485,73,480,843,467,499,0,118,114,251,134,585,109,13097,6399,2542,205,1040,833,464,3857,435348,101614,11925,43977,21719,23993,333734,18136,5039,708,3020,617,694,13097
ACSSF,2010e1,al,000,0055,0000049,12538,6638,298,712,481,139,687,478,562,110,783,55,403,398,345,228,828,131,5900,409605,94187,5461,5414,4382,5112,5582,5610,4772,6417,5016,4248,4523,4744,4473,4521,19638,4274,315418,16518,6260,403,163,135,1219,315,503,148,169,389,143,402,185,434,213,1047,392,10258,12538,6638,1010,3295,1374,959,5900,409605,94187,10875,41139,18261,23912,315418,16518,6260,566,3021,1234,1439,10258
ACSSF,2010e1,al,000,0055,0000050,,,,,,,,,,,,,,,,,,,,421809,112420,6418,4307,3073,3962,5587,4468,6381,5793,5459,6156,5216,5296,4661,5716,35612,4315,309389,19162,5754,554,365,694,298,323,421,808,200,176,72,199,89,98,62,1210,185,13408,5779,2107,379,799,258,671,3672,421809,112420,10725,40879,20889,39927,309389,19162,5754,919,2992,448,1395,13408
ACSSF,2010e1,al,000,0055,0000051,,,,,,,,,,,,,,,,,,,,550682,122618,5583,6912,6444,5772,7156,6202,6488,6579,8973,7520,8731,7542,6324,6527,23673,2192,428064,38877,11754,211,1271,1106,1208,358,1043,819,542,901,249,470,450,1319,1137,642,28,27123,9429,4404,443,2841,368,752,5025,550682,122618,12495,55134,29124,25865,428064,38877,11754,1482,6226,3376,670,27123
ACSSF,2010e1,al,000,0055,0000052,12751,6232,826,427,446,157,439,126,393,560,311,292,164,196,485,71,1152,187,6519,511396,126503,6734,6079,7278,6644,6579,6257,5189,6037,8712,6355,6652,6382,6129,5708,30312,5456,384893,30750,10868,554,1168,387,367,1257,863,828,440,659,923,365,888,423,204,1232,310,19882,12751,6232,1253,2724,916,1339,6519,511396,126503,12813,53051,24871,35768,384893,30750,10868,1722,5724,1880,1542,19882
ACSSF,2010e1,al,000,0055,0000053,,,,,,,,,,,,,,,,,,,,583598,142698,9889,9260,7862,6570,8304,7021,8562,7950,7315,6624,8108,7610,6855,7124,25832,7812,440900,30439,9177,800,1133,714,1591,740,273,219,254,445,754,279,558,131,376,692,218,21262,8005,4270,774,1654,1447,395,3735,583598,142698,19149,60208,29697,33644,440900,30439,9177,1933,4990,1344,910,21262
ACSSF,2010e1,al,000,0055,0000054,,,,,,,,,,,,,,,,,,,,193670,46788,1430,1159,1815,1196,1265,1844,850,1679,1307,2097,1633,2217,2075,1857,21276,3088,146882,,,,,,,,,,,,,,,,,,,,2900,1471,249,490,165,567,1429,193670,46788,2589,12053,7782,24364,146882,14292,2930,419,1123,466,922,11362
ACSSF,2010e1,al,000,0055,0000055,,,,,,,,,,,,,,,,,,,,118670,29116,1574,2519,1693,1219,1331,1885,1317,917,1074,1528,1652,791,1123,1281,8329,883,89554,,,,,,,,,,,,,,,,,,,,1201,582,46,96,152,288,619,118670,29116,4093,10964,4847,9212,89554,,,,,,,
ACSSF,2010e1,al,000,0055,0000056,,,,,,,,,,,,,,,,,,,,100029,21918,913,1245,934,791,1081,722,652,944,2570,950,791,1026,1503,839,5710,1247,78111,,,,,,,,,,,,,,,,,,,,4417,2734,743,1401,253,337,1683,100029,21918,2158,8644,4159,6957,78111,9161,2191,732,1115,46,298,6970
ACSSF,2010e1,al,000,0055,0000057,,,,,,,,,,,,,,,,,,,,177920,45928,2465,1771,3049,3053,2399,2641,1475,2266,2978,2417,2162,3463,2054,2037,9216,2482,131992,,,,,,,,,,,,,,,,,,,,3275,1039,140,723,47,129,2236,177920,45928,4236,20278,9716,11698,131992,9288,3479,161,1940,921,457,5809
ACSSF,2010e1,al,000,0055,0000058,,,,,,,,,,,,,,,,,,,,102270,24464,609,864,1157,1238,1849,854,2178,1592,1501,1856,1268,934,1062,2018,4839,645,77806,,,,,,,,,,,,,,,,,,,,,,,,,,,102270,24464,1473,12225,5282,5484,77806,9951,2910,217,2228,437,28,7041
ACSSF,2010e1,al,000,0055,0000059,,,,,,,,,,,,,,,,,,,,168808,39587,1683,1688,1754,1606,1987,1354,2734,1982,3801,2174,2718,2558,2136,2277,8404,731,129221,13866,4250,195,505,500,134,126,416,179,260,217,126,92,297,514,589,100,0,9616,,,,,,,,168808,39587,3371,17392,9689,9135,129221,13866,4250,700,1958,1492,100,9616
ACSSF,2010e1,al,000,0055,0000060,,,,,,,,,,,,,,,,,,,,115961,27728,1860,1103,1269,1740,1249,1156,1016,1610,1979,1660,1773,1266,1374,893,6949,831,88233,,,,,,,,,,,,,,,,,,,,4647,2123,596,377,423,727,2524,115961,27728,2963,11679,5306,7780,88233,9187,3774,465,2127,784,398,5413
ACSSF,2010e1,al,000,0055,0000061,,,,,,,,,,,,,,,,,,,,94236,20024,1112,1379,1609,774,1380,1208,1049,424,1424,1022,1857,1378,657,911,3471,369,74212,,,,,,,,,,,,,,,,,,,,,,,,,,,94236,20024,2491,8890,4803,3840,74212,,,,,,,
ACSSF,2010e1,al,000,0055,0000062,,,,,,,,,,,,,,,,,,,,177000,39373,1790,2267,2723,2155,2363,2610,2098,2164,2637,1552,3081,3237,1912,1968,6233,583,137627,,,,,,,,,,,,,,,,,,,,2229,806,76,657,0,73,1423,177000,39373,4057,18302,10198,6816,137627,8525,3339,610,1410,820,499,5186
ACSSF,2010e1,al,000,0055,0000063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29586,5846,566,993,539,3748,23740,,,,,,,
ACSSF,2010e1,al,000,0055,0000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0055,0000065,,,,,,,,,,,,,,,,,,,,123486,33686,2756,2932,1851,1323,1876,1431,1416,1401,1530,1607,1158,1318,1711,1210,6793,3373,89800,,,,,,,,,,,,,,,,,,,,,,,,,,,123486,33686,5688,12435,5397,10166,89800,13300,4493,1792,1908,543,250,8807
ACSSF,2010e1,al,000,0055,0000066,,,,,,,,,,,,,,,,,,,,115602,24893,2042,1402,1094,726,869,1215,905,1772,1025,996,1783,1436,1456,1550,5712,910,90709,,,,,,,,,,,,,,,,,,,,,,,,,,,115602,24893,3444,8602,6225,6622,90709,,,,,,,
ACSSF,2010e1,al,000,0055,0000067,,,,,,,,,,,,,,,,,,,,54679,10453,379,429,677,475,787,460,675,548,955,1118,422,555,688,586,1510,189,44226,,,,,,,,,,,,,,,,,,,,,,,,,,,54679,10453,808,5695,2251,1699,44226,,,,,,,
ACSSF,2010e1,al,000,0055,0000068,,,,,,,,,,,,,,,,,,,,80121,17465,967,860,1217,617,769,902,574,1268,714,1287,1721,662,1137,1333,3281,156,62656,,,,,,,,,,,,,,,,,,,,,,,,,,,80121,17465,1827,7348,4853,3437,62656,3258,1079,0,652,427,0,2179
ACSSF,2010e1,al,000,0055,0000069,,,,,,,,,,,,,,,,,,,,119409,27028,1589,855,710,1171,1740,1393,2573,1985,1178,1846,2004,1443,1064,2159,4978,340,92381,,,,,,,,,,,,,,,,,,,,,,,,,,,119409,27028,2444,12596,6670,5318,92381,,,,,,,
ACSSF,2010e1,al,000,0055,0000070,,,,,,,,,,,,,,,,,,,,85446,20608,1804,857,574,1057,723,988,687,1331,1506,1441,1054,1006,1200,791,5034,555,64838,,,,,,,,,,,,,,,,,,,,,,,,,,,85446,20608,2661,8307,4051,5589,64838,,,,,,,
ACSSF,2010e1,al,000,0055,0000071,,,,,,,,,,,,,,,,,,,,151627,39680,2711,2238,1775,1937,2862,2295,2979,2327,1808,2219,2152,2108,2273,1763,6537,1696,111947,,,,,,,,,,,,,,,,,,,,2319,1323,0,880,400,43,996,151627,39680,4949,18202,8296,8233,111947,10527,2414,111,1889,271,143,8113
ACSSF,2010e1,al,000,0055,0000072,,,,,,,,,,,,,,,,,,,,122663,37141,1312,1408,1365,792,846,1485,1417,1503,1098,1533,1294,1397,981,982,17524,2204,85522,,,,,,,,,,,,,,,,,,,,2026,1507,320,504,320,363,519,122663,37141,2720,10039,4654,19728,85522,,,,,,,
ACSSF,2010e1,al,000,0055,0000073,,,,,,,,,,,,,,,,,,,,49844,9925,427,291,402,603,915,366,334,625,389,210,384,758,513,883,2537,288,39919,,,,,,,,,,,,,,,,,,,,,,,,,,,49844,9925,718,3844,2538,2825,39919,,,,,,,
ACSSF,2010e1,al,000,0055,0000074,,,,,,,,,,,,,,,,,,,,84677,17691,1031,1551,832,812,1129,987,558,1068,1159,1107,1032,862,609,1407,3074,473,66986,,,,,,,,,,,,,,,,,,,,,,,,,,,84677,17691,2582,7652,3910,3547,66986,,,,,,,
ACSSF,2010e1,al,000,0055,0000075,,,,,,,,,,,,,,,,,,,,95387,37671,1493,850,802,882,1547,975,1795,1259,1137,1172,855,1556,1004,821,18910,2613,57716,,,,,,,,,,,,,,,,,,,,1248,740,29,156,144,411,508,95387,37671,2343,9569,4236,21523,57716,4337,1582,118,727,169,568,2755
