ACSSF,2010e1,al,000,0016,0000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181126,170562,106261,53110,434,5734,161,68,4794,61,4733,10564,8535,350,0,0,0,1316,363,363,0,181126,170562,10564,181126,170562,10564,6641,785,119,89,2018,720,192,181126,170562,106261,53110,434,5734,161,68,4794,61,4733,10564
ACSSF,2010e1,al,000,0016,0000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195249,190257,4992,195249,190257,4992,1934,727,411,0,498,954,468,195249,190257,86163,98677,474,2621,0,55,2267,0,2267,4992
ACSSF,2010e1,al,000,0016,0000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206655,198566,8089,206655,198566,8089,4826,1036,133,0,1664,89,341,206655,198566,75011,115266,571,4368,90,0,3260,161,3099,8089
ACSSF,2010e1,al,000,0016,0000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90637,86642,3995,,,,,,,,,,,90637,86642,45666,38753,0,861,0,339,1023,0,1023,3995
ACSSF,2010e1,al,000,0016,0000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689835,670441,451073,194196,7244,9816,0,508,7604,41,7563,19394,13696,460,756,0,53,4043,386,386,0,689835,670441,19394,689835,670441,19394,11571,1446,831,52,2126,2188,1180,689835,670441,451073,194196,7244,9816,0,508,7604,41,7563,19394
ACSSF,2010e1,al,000,0016,0000049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666779,648192,421480,205085,2713,5753,179,85,12897,399,12498,18587,10186,1151,0,121,0,5753,1376,992,384,666779,648192,18587,666779,648192,18587,9306,3785,332,61,3136,599,1368,666779,648192,421480,205085,2713,5753,179,85,12897,399,12498,18587
ACSSF,2010e1,al,000,0016,0000050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690081,669055,433848,219206,1006,8472,122,54,6347,0,6347,21026,11632,1938,181,0,0,7064,211,143,68,690081,669055,21026,690081,669055,21026,14709,3096,74,89,1494,672,892,690081,669055,433848,219206,1006,8472,122,54,6347,0,6347,21026
ACSSF,2010e1,al,000,0016,0000051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659152,617646,569890,33281,2899,2385,22,197,8972,40,8932,41506,30920,936,1453,0,0,6923,1274,661,613,659152,617646,41506,659152,617646,41506,31141,1330,308,0,7544,255,928,659152,617646,569890,33281,2899,2385,22,197,8972,40,8932,41506
ACSSF,2010e1,al,000,0016,0000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719906,686608,527982,125911,7886,10577,230,533,13489,227,13262,33298,24272,1016,1039,0,0,6172,799,626,173,719906,686608,33298,719906,686608,33298,22516,2405,255,185,5371,1684,882,719906,686608,527982,125911,7886,10577,230,533,13489,227,13262,33298
ACSSF,2010e1,al,000,0016,0000053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747579,714442,603691,88993,1586,12420,0,18,7734,167,7567,33137,16351,308,48,355,0,15147,928,424,504,747579,714442,33137,747579,714442,33137,24479,880,384,213,3097,2824,1260,747579,714442,603691,88993,1586,12420,0,18,7734,167,7567,33137
ACSSF,2010e1,al,000,0016,0000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611966,596119,198521,389894,957,2890,0,700,3157,176,2981,15847,10734,605,0,0,0,4496,12,0,12,611966,596119,15847,611966,596119,15847,13435,713,16,0,665,334,684,611966,596119,198521,389894,957,2890,0,700,3157,176,2981,15847
ACSSF,2010e1,al,000,0016,0000055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147112,144760,2352,,,,,,,,,,,147112,144760,122539,18983,1240,733,0,0,1265,11,1254,2352
ACSSF,2010e1,al,000,0016,0000056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175602,165418,102587,51851,399,5703,161,68,4649,61,4588,10184,8261,350,0,0,0,1316,257,257,0,175602,165418,10184,175602,165418,10184,6641,785,0,89,1912,565,192,175602,165418,102587,51851,399,5703,161,68,4649,61,4588,10184
ACSSF,2010e1,al,000,0016,0000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243579,233576,184995,38540,3109,3400,69,195,3268,81,3187,10003,5749,401,46,0,0,3541,266,218,48,243579,233576,10003,243579,233576,10003,7053,1409,119,0,243,502,677,243579,233576,184995,38540,3109,3400,69,195,3268,81,3187,10003
ACSSF,2010e1,al,000,0016,0000058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124279,113342,10937,,,,,,,,,,,124279,113342,105925,2954,2175,211,22,0,2055,0,2055,10937
ACSSF,2010e1,al,000,0016,0000059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196365,181362,15003,,,,,,,,,,,196365,181362,174944,2378,1176,642,0,0,2222,0,2222,15003
ACSSF,2010e1,al,000,0016,0000060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153968,144137,9831,,,,,,,,,,,153968,144137,118864,16826,1925,934,0,270,5318,74,5244,9831
ACSSF,2010e1,al,000,0016,0000061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128453,122737,5716,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0016,0000062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208046,199318,8728,,,,,,,,,,,208046,199318,183499,12585,296,612,0,81,2245,40,2205,8728
