ACSSF,2010m1,al,000,0022,0000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3148,3067,2048,3148,539,3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3148,3067,2048,3148
ACSSF,2010m1,al,000,0022,0000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,4435,4823,2346,4436,818,4374,604,1827,691,389,452,273,534,1601,579,1001,152,1505,391,153,1196,740,273,365,237,273,273,524,1374,452,2117,296,273,273,430,134,6071,4436,604,4435,4823,2346,4436
ACSSF,2010m1,al,000,0022,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787,1412,1878,1543,1218,445,1175,787,820,139,189,89,25,214,856,181,503,26,1448,116,112,1134,409,273,129,197,25,224,406,409,273,132,117,118,273,108,233,1962,1218,787,1412,1878,1543,1218
ACSSF,2010m1,al,000,0022,0000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2905,3476,3989,2924,1820,749,1749,2905,1978,529,386,167,205,669,2382,561,1311,273,1807,273,162,2742,1502,92,173,1318,273,235,813,1281,97,574,989,139,516,693,1003,3938,1820,2905,3476,3989,2924,1820
ACSSF,2010m1,al,000,0022,0000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122,4131,5221,3484,4090,927,4038,1122,3166,693,543,325,218,814,2678,1332,1501,182,2448,463,294,2514,1469,293,354,778,253,328,1263,1553,334,1807,445,78,273,330,1281,3849,4090,1122,4131,5221,3484,4090
ACSSF,2010m1,al,000,0022,0000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,3215,4943,4164,3216,517,3104,35,2876,210,442,262,164,926,2541,693,2783,395,2919,1062,230,2406,1221,115,969,342,140,108,1251,907,98,722,420,85,92,348,413,5033,3216,35,3215,4943,4164,3216
ACSSF,2010m1,al,000,0022,0000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,5331,5223,2590,3531,938,3373,4096,2986,1482,312,273,273,587,2036,671,1011,87,1341,141,263,1582,774,98,362,476,121,458,708,858,299,1070,320,106,133,463,791,5004,3531,4096,5331,5223,2590,3531
ACSSF,2010m1,al,000,0022,0000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3179,3085,1913,3172,516,3118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3179,3085,1913,3172
ACSSF,2010m1,al,000,0022,0000041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,4435,4823,2346,4436,818,4374,604,1827,691,389,452,273,534,1601,579,1001,152,1505,391,153,1196,740,273,365,237,273,273,524,1374,452,2117,296,273,273,430,134,6071,4436,604,4435,4823,2346,4436
ACSSF,2010m1,al,000,0022,0000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2905,3476,3989,2924,1820,749,1749,2905,1978,529,386,167,205,669,2382,561,1311,273,1807,273,162,2742,1502,92,173,1318,273,235,813,1281,97,574,989,139,516,693,1003,3938,1820,2905,3476,3989,2924,1820
ACSSF,2010m1,al,000,0022,0000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,975,1690,1495,973,439,919,30,820,139,189,89,25,214,848,181,499,26,1054,116,112,1074,409,273,129,197,25,224,406,409,273,132,117,118,273,108,233,1916,973,30,975,1690,1495,973
ACSSF,2010m1,al,000,0022,0000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122,4131,5221,3484,4090,927,4038,1122,3166,693,543,325,218,814,2678,1332,1501,182,2448,463,294,2514,1469,293,354,778,253,328,1263,1553,334,1807,445,78,273,330,1281,3849,4090,1122,4131,5221,3484,4090
ACSSF,2010m1,al,000,0022,0000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,3215,4943,4164,3216,517,3104,35,2876,210,442,262,164,926,2541,693,2783,395,2919,1062,230,2406,1221,115,969,342,140,108,1251,907,98,722,420,85,92,348,413,5033,3216,35,3215,4943,4164,3216
ACSSF,2010m1,al,000,0022,0000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,5331,5223,2590,3531,938,3373,4096,2986,1482,312,273,273,587,2036,671,1011,87,1341,141,263,1582,774,98,362,476,121,458,708,858,299,1070,320,106,133,463,791,5004,3531,4096,5331,5223,2590,3531
ACSSF,2010m1,al,000,0022,0000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3179,3085,1913,3172,516,3118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,3179,3085,1913,3172
ACSSF,2010m1,al,000,0022,0000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4741,9249,10228,7386,8667,2164,8518,4741,8455,441,1087,687,367,3547,6566,1579,4696,551,5226,1491,323,6983,3251,187,1417,1937,230,586,2141,2595,243,1160,1226,554,142,803,1357,9122,8667,4741,9249,10228,7386,8667
