ACSSF,2010m1,al,000,0032,0000031,2022,5112,4544,3678,5158,4243,1585,893,1492,2052,558,1933,1336,605,1130,218,218,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642,3328,3255,1607,1418,671,1315,126,1268,2525,1528,1543,155,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642,3328,3255,1607,1418,671,1315,2525,1528,1543,155,247,,,,,,,,,,642,3328,3255,1437,3045,782,2757,2239,1453,247,273,247
ACSSF,2010m1,al,000,0032,0000032,2997,6307,6110,5980,6530,5378,4315,2095,3664,2659,635,2595,1216,904,1069,350,25,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897,5552,5538,4795,4008,2619,2406,1340,1928,1101,48,1101,125,412,,,,,,,,,,,,,,,,,,,,,,,,,,897,5552,5538,4010,4010,273,3679,2229,3072,2704,1347,121,350,944,893,412,273,273,412,897,5552,5538,4795,4008,2619,2406,1340,1928,1101,125,412,,,,,,,,,,,,,,,,,,,,,,897,5552,5538,4010,3679,2229,3072,2704,1347,412,273,412
ACSSF,2010m1,al,000,0032,0000033,700,3625,3475,2958,3350,2883,2043,1325,1714,1586,202,1585,659,405,508,273,273,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,2727,2765,673,2853,2140,1669,1586,659,273,273,273
ACSSF,2010m1,al,000,0032,0000034,3103,6791,6528,5369,6098,6053,5612,2172,5126,1518,1094,1146,3188,940,3031,233,113,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938,5378,5435,5602,5373,2491,3128,2910,1209,1193,241,1050,714,471,,,,,,,,,,,,,,,,,,,,,,,,,,938,5378,5435,5337,5345,96,4019,2675,3363,1781,3185,2583,1061,1339,268,471,273,273,471,938,5378,5435,5602,5373,2491,3128,2910,1209,1193,714,471,,,,,,,,,,,,,,,,,,,,,,938,5378,5435,5337,4019,2675,3363,1781,3185,471,273,471
ACSSF,2010m1,al,000,0032,0000035,1548,1848,1528,2012,1901,1731,1269,584,1182,647,435,557,984,333,915,91,27,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,1710,1731,1369,1179,769,929,349,826,683,355,532,543,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,1710,1731,1369,1179,769,929,349,826,683,543,91,,,,,,,,,,,,,,,,,,,,,,804,1858,1747,1179,1460,526,1267,880,1008,91,87,35
ACSSF,2010m1,al,000,0032,0000036,3210,4415,3752,4713,4764,3828,2025,1153,1931,2310,1080,2037,760,504,623,478,136,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3072,4696,3191,2844,1879,2161,1389,1349,618,365,273,365,273,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3072,4696,3191,2844,1879,2161,1389,1349,618,365,273,478,,,,,,,,,,,,,,,,,,,,,,3072,4696,3191,1674,2993,1266,2322,2294,735,478,273,478
ACSSF,2010m1,al,000,0032,0000037,2261,5535,5372,5022,5654,5171,4088,2585,3244,1451,685,1244,1104,671,881,667,171,651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1386,5183,4923,4450,3798,2037,1636,1488,752,667,409,495,390,667,,,,,,,,,,,,,,,,,,,,,,,,,,1386,5183,4923,3798,3636,763,2892,2037,1839,1357,1202,181,541,939,359,667,273,273,667,1386,5183,4923,4450,3798,2037,1636,1488,752,667,390,667,,,,,,,,,,,,,,,,,,,,,,1386,5183,4923,3798,2892,2037,1839,1357,1202,667,273,667
ACSSF,2010m1,al,000,0032,0000038,2755,6065,6230,4287,6035,6305,3661,1123,3672,753,476,510,1284,427,1138,422,208,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735,4189,4118,3810,3608,1009,1388,893,1049,632,512,326,271,424,,,,,,,,,,,,,,,,,,,,,,,,,,735,4189,4118,3608,3608,273,1886,1009,1650,969,1335,273,447,1220,223,424,273,273,424,735,4189,4118,3810,3608,1009,1388,893,1049,632,271,424,,,,,,,,,,,,,,,,,,,,,,735,4189,4118,3608,1886,1009,1650,969,1335,424,273,424
ACSSF,2010m1,al,000,0032,0000039,4657,6188,5971,5973,6174,6009,4545,2681,3820,1672,830,1518,1637,742,1525,1032,413,935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4163,5644,4808,4403,4473,1481,1893,1465,1285,666,436,532,574,1032,,,,,,,,,,,,,,,,,,,,,,,,,,4163,5644,4808,4473,4473,273,2437,1260,2300,1742,1740,205,373,1534,827,1032,273,273,1032,4163,5644,4808,4403,4473,1481,1893,1465,1285,666,574,1032,,,,,,,,,,,,,,,,,,,,,,4163,5644,4808,4473,2437,1260,2300,1742,1740,1032,273,1032
ACSSF,2010m1,al,000,0032,0000040,2981,4485,4556,4489,4524,3807,3343,1244,3114,1878,477,1827,654,245,605,348,273,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767,4062,4082,3746,3492,1355,2054,863,1589,428,48,434,273,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767,4062,4082,3746,3492,1355,2054,863,1589,428,273,411,,,,,,,,,,,,,,,,,,,,,,767,4062,4082,3492,2486,1355,2174,1908,894,411,273,411
