,Geography,Geographic_Area_Name,Total,Total_Male,Total_Male_Under_5_years,Total_Male_5_to_9_years,Total_Male_10_to_14_years,Total_Male_15_to_17_years,Total_Male_18_and_19_years,Total_Male_20_years,Total_Male_21_years,Total_Male_22_to_24_years,Total_Male_25_to_29_years,Total_Male_30_to_34_years,Total_Male_35_to_39_years,Total_Male_40_to_44_years,Total_Male_45_to_49_years,Total_Male_50_to_54_years,Total_Male_55_to_59_years,Total_Male_60_and_61_years,Total_Male_62_to_64_years,Total_Male_65_and_66_years,Total_Male_67_to_69_years,Total_Male_70_to_74_years,Total_Male_75_to_79_years,Total_Male_80_to_84_years,Total_Male_85_years_and_over,Total_Female,Total_Female_Under_5_years,Total_Female_5_to_9_years,Total_Female_10_to_14_years,Total_Female_15_to_17_years,Total_Female_18_and_19_years,Total_Female_20_years,Total_Female_21_years,Total_Female_22_to_24_years,Total_Female_25_to_29_years,Total_Female_30_to_34_years,Total_Female_35_to_39_years,Total_Female_40_to_44_years,Total_Female_45_to_49_years,Total_Female_50_to_54_years,Total_Female_55_to_59_years,Total_Female_60_and_61_years,Total_Female_62_to_64_years,Total_Female_65_and_66_years,Total_Female_67_to_69_years,Total_Female_70_to_74_years,Total_Female_75_to_79_years,Total_Female_80_to_84_years,Total_Female_85_years_and_over
42,0500000US05125,"Saline County, Arkansas",122437,59994,3826,4440,3423,2906,1048,487,229,1900,4091,3583,3557,4596,4218,3777,3444,953,3345,2009,2099,1894,2164,1293,712,62443,3377,3285,4499,2575,1822,405,861,2624,3828,3401,4139,3785,4065,3481,3188,2576,2105,2520,1622,3059,1878,1775,1573
43,0500000US05131,"Sebastian County, Arkansas",127827,61816,4455,2952,5513,2542,2514,1261,1353,1353,3752,4152,3585,3434,4005,4343,3468,2623,1729,954,2033,2354,1332,1519,590,66011,4067,4292,3766,3085,1055,266,1233,2741,4851,4317,4173,4328,3289,3749,3299,2545,2068,1649,1730,3582,2377,1742,1807
44,0500000US05143,"Washington County, Arkansas",239187,119984,8119,8162,8971,5029,5100,3149,3385,6432,9517,8074,7773,8046,7869,6007,6943,1766,2693,1699,2805,3411,2355,1856,823,119203,7700,8017,7633,4118,5434,3347,2950,5981,8834,7194,7303,9518,6446,5993,7079,1801,3646,1853,2190,5519,2480,1955,2212
45,0500000US05145,"White County, Arkansas",78753,38769,2414,2459,3408,1387,1855,451,225,1734,2514,2419,2582,1807,2295,2348,3791,755,499,322,1408,1857,1272,412,555,39984,2147,2102,2837,1521,1895,833,196,1843,2376,2457,2529,1803,2670,2455,2069,621,2241,859,1135,2076,1849,544,926
46,0500000US06001,"Alameda County, California",1671329,823696,48598,47995,49668,28168,19683,10527,9975,27647,67855,72710,66040,61982,56450,52743,52656,20471,26037,15499,18861,30052,16719,11807,11553,847633,45765,43900,48821,27183,19756,8468,10570,29498,66393,71834,67685,59973,57081,52576,52983,22693,28668,16762,24275,35091,22626,16954,18078
47,0500000US06007,"Butte County, California",219186,108389,6249,6242,6222,3968,4140,2976,1879,6469,7899,7105,7050,6107,5515,5491,6278,2317,4131,3755,2952,4909,2985,1892,1858,110797,5732,6345,6389,3309,4814,1814,2796,6027,7704,6444,5737,6055,5909,5605,6118,2631,5160,2924,3545,6414,3978,3013,2334
48,0500000US06013,"Contra Costa County, California",1153526,563385,32960,36952,37982,23947,13727,6209,5874,20953,36699,37032,39468,37167,38546,38844,39794,15587,19067,11347,14956,23955,14459,8705,9155,590141,31251,36037,37295,22960,13143,6445,5789,19815,35923,36845,39067,41101,40178,40390,42549,16376,20660,12721,17602,28783,18238,12572,14401
49,0500000US06017,"El Dorado County, California",192843,95507,4842,5364,5525,3442,1852,1615,1387,1905,4805,5400,5672,5147,6841,5646,7006,3581,4958,3535,4029,5282,3220,3272,1181,97336,4202,4720,6667,3609,1436,568,390,3251,4505,4895,5903,6351,5925,6319,8652,3542,4831,3115,4346,5079,4472,1664,2894
50,0500000US06019,"Fresno County, California",999101,499209,38592,40142,42365,22693,14432,8209,7783,18481,41250,38358,35261,30287,27569,26915,26332,11056,12943,8576,11983,14462,9855,5945,5720,499892,36539,37908,41010,22134,13734,5863,8848,18928,38750,36243,33084,30854,26751,26567,27469,10557,15458,9748,11474,17763,11474,7314,11422
51,0500000US06023,"Humboldt County, California",135558,66417,3280,3249,4431,1769,3110,796,580,4090,4506,4341,5775,3728,4427,3087,3754,1765,2644,1632,2031,3521,1910,939,1052,69141,3526,4139,3230,1991,2302,960,2432,2575,5063,4509,4255,3649,4002,3432,3796,1803,3536,1777,2833,3849,2196,1158,2128
