,Geography,Geographic_Area_Name,Total,Total_Male,Total_Male_Under_5_years,Total_Male_5_to_9_years,Total_Male_10_to_14_years,Total_Male_15_to_17_years,Total_Male_18_and_19_years,Total_Male_20_years,Total_Male_21_years,Total_Male_22_to_24_years,Total_Male_25_to_29_years,Total_Male_30_to_34_years,Total_Male_35_to_39_years,Total_Male_40_to_44_years,Total_Male_45_to_49_years,Total_Male_50_to_54_years,Total_Male_55_to_59_years,Total_Male_60_and_61_years,Total_Male_62_to_64_years,Total_Male_65_and_66_years,Total_Male_67_to_69_years,Total_Male_70_to_74_years,Total_Male_75_to_79_years,Total_Male_80_to_84_years,Total_Male_85_years_and_over,Total_Female,Total_Female_Under_5_years,Total_Female_5_to_9_years,Total_Female_10_to_14_years,Total_Female_15_to_17_years,Total_Female_18_and_19_years,Total_Female_20_years,Total_Female_21_years,Total_Female_22_to_24_years,Total_Female_25_to_29_years,Total_Female_30_to_34_years,Total_Female_35_to_39_years,Total_Female_40_to_44_years,Total_Female_45_to_49_years,Total_Female_50_to_54_years,Total_Female_55_to_59_years,Total_Female_60_and_61_years,Total_Female_62_to_64_years,Total_Female_65_and_66_years,Total_Female_67_to_69_years,Total_Female_70_to_74_years,Total_Female_75_to_79_years,Total_Female_80_to_84_years,Total_Female_85_years_and_over
616,0500000US42049,"Erie County, Pennsylvania",269728,131825,7234,7948,8261,4657,4534,1440,2691,4350,8945,9249,8553,7527,7454,8267,9068,3745,5616,4733,3850,5177,3553,2337,2636,137903,7747,7890,7819,5305,4071,1688,2067,5271,8190,8291,7768,7745,8593,8472,9433,4735,5309,3507,5441,5967,5233,3338,4023
617,0500000US42051,"Fayette County, Pennsylvania",129274,63680,3128,3609,3163,2076,1268,1017,465,2478,4395,4069,4183,3123,4309,4405,4786,1888,2948,2270,2186,3242,2395,1017,1260,65594,3499,3496,3116,2522,1017,896,551,1538,3979,3403,2777,4130,4063,4796,5390,1998,3171,1630,2919,3726,2453,1847,2677
618,0500000US42055,"Franklin County, Pennsylvania",155027,76292,4671,5087,4951,3029,1841,440,949,2297,4163,4309,5154,4583,5305,5135,4761,1847,3863,1420,2672,3998,2822,1716,1279,78735,4455,4182,5320,2540,1784,1159,491,2342,4441,4877,4843,4799,4928,4913,4801,2036,3520,1452,2573,4822,3306,2551,2600
619,0500000US42063,"Indiana County, Pennsylvania",84073,42073,1905,2145,2307,1373,2168,1125,1927,1361,2851,2347,2009,2318,2181,2568,2728,1032,2125,1324,1325,2000,1448,703,803,42000,1785,2485,1808,1261,2327,964,814,1418,3287,2150,2214,1815,2216,2465,2422,1281,2222,1378,1644,1817,1376,1442,1409
620,0500000US42069,"Lackawanna County, Pennsylvania",209674,101704,5610,5973,6829,3507,2705,1515,1324,2907,6536,6775,6407,5667,6646,6426,6957,3378,4042,2609,4109,4671,3301,2135,1675,107970,5360,5051,6811,3761,2925,1678,465,3281,6582,7087,6511,6004,6330,6575,7292,3945,4103,2470,4761,5332,5210,2307,4129
621,0500000US42071,"Lancaster County, Pennsylvania",545724,266670,17702,18180,18674,10390,6910,3565,2645,10710,19073,17455,17853,13795,14139,16305,17073,7883,9632,6487,7902,11620,8215,5079,5383,279054,17621,17505,17120,10680,7978,2488,2996,10937,17928,17764,18872,13349,15091,16175,18079,7712,11099,7162,10240,11225,10341,6579,10113
622,0500000US42073,"Lawrence County, Pennsylvania",85512,41534,2189,2150,2509,1584,938,431,753,1529,2518,2438,2644,1968,2530,2794,2873,1513,1996,1538,1181,2173,1536,752,997,43978,2329,2037,2708,1473,997,500,349,1398,2497,2161,2845,1664,2711,2638,3512,1480,1787,1014,1990,2634,1675,1934,1645
623,0500000US42075,"Lebanon County, Pennsylvania",141793,69834,4310,4165,5310,2175,1372,1947,686,2194,4706,4353,3834,4103,4725,4126,5366,2076,2067,1051,2598,3585,1997,1676,1412,71959,3623,4379,4729,2869,1434,869,1067,2486,4125,4034,3006,5270,4342,4460,5028,2552,2660,1829,2274,3611,3364,1708,2240
624,0500000US42077,"Lehigh County, Pennsylvania",369318,180855,11183,11704,12448,7436,4251,3308,2750,6285,12567,11700,12185,11271,11010,11749,12108,4842,6606,3909,6333,6604,5129,2849,2628,188463,10566,11001,11514,7348,5426,1603,3227,6619,12008,11842,12286,11424,11327,11696,12656,4918,7456,4371,5019,9365,7238,4450,5103
625,0500000US42079,"Luzerne County, Pennsylvania",317417,156743,8684,11437,6354,5256,4121,2341,1433,5800,11522,9965,9764,9906,9694,10759,10162,4728,7303,3489,5360,7772,5566,2798,2529,160674,8012,8183,8836,6235,3335,2882,2032,5169,9340,9264,9095,9146,9641,10568,12944,3591,7051,4435,5768,7943,6743,4589,5872
626,0500000US42081,"Lycoming County, Pennsylvania",113299,55872,3002,3865,3055,2097,1716,802,1440,1391,3744,3778,3671,2916,3071,3398,3877,1325,2475,1020,2378,2794,1756,874,1427,57427,2704,3364,3304,1827,1299,768,674,1500,3744,3431,3298,3338,3637,3658,3963,1188,3294,1405,2003,3192,2030,1735,2071
627,0500000US42085,"Mercer County, Pennsylvania",109424,53573,2680,2726,3288,2028,1770,889,982,2100,2856,2952,2410,3233,3307,3695,4375,1598,2306,1411,2247,2377,1561,956,1826,55851,2782,2987,2500,1723,1350,519,912,1871,3157,2714,2337,3148,3162,3933,4319,1473,2596,1880,2376,3455,2313,2008,2336
628,0500000US42089,"Monroe County, Pennsylvania",170271,84330,3604,4351,5248,3617,2884,466,1719,3675,5832,4700,5511,3274,5542,5856,8190,2887,3210,2206,2733,3832,2920,1571,502,85941,4274,5076,4293,2653,1748,1785,841,4792,4601,4374,5060,4655,4806,7188,7857,2375,3385,1600,3218,4796,3460,1287,1817
629,0500000US42091,"Montgomery County, Pennsylvania",830915,403870,23078,23209,28457,16069,9297,4448,4082,14792,25519,27159,27439,26042,25513,27074,27576,12202,16664,9759,12839,16473,11391,7112,7676,427045,22185,24844,24841,15659,10413,4122,4443,14189,24388,26861,27710,25119,26658,28756,29408,13960,17708,11626,13615,19926,14237,10917,15460
630,0500000US42095,"Northampton County, Pennsylvania",305285,150529,8145,7389,10171,5729,5782,2730,2508,4843,9424,9873,7995,9636,8914,10192,9777,5112,6334,4392,4367,6509,5241,2113,3353,154756,6226,7648,9387,5291,5115,2275,2173,4755,8477,9692,8610,8825,9332,10983,9900,5098,7189,3753,5662,8002,7265,3923,5175
631,0500000US42097,"Northumberland County, Pennsylvania",90843,45981,2237,2260,3050,1573,792,199,452,1923,3028,3882,3026,2229,2845,3000,2943,1366,2452,1354,1454,2374,2060,661,821,44862,2257,2540,2521,1312,740,462,538,1049,2605,2787,2512,2181,2695,2841,3329,1721,1927,1150,2001,2473,1802,2307,1112
632,0500000US42101,"Philadelphia County, Pennsylvania",1584064,749461,52855,45583,50103,25838,21108,10495,9074,34464,76286,71293,54346,41779,41262,42333,41284,16880,25645,12581,18132,24291,15541,9833,8455,834603,49863,46211,46520,25281,22418,9821,11186,34803,81439,75798,59012,46590,46176,47504,49323,21285,28856,16967,22382,33724,23095,16718,19631
633,0500000US42107,"Schuylkill County, Pennsylvania",141359,72776,3641,3553,4511,2691,1321,762,835,2151,4982,4715,5280,4094,4940,5736,5430,2413,2596,1870,1853,4407,2244,1224,1527,68583,3091,3739,4091,2344,1192,596,597,2056,3642,3668,3871,3761,4635,4679,5121,2445,2766,1721,3218,3629,2451,2083,3187
634,0500000US42111,"Somerset County, Pennsylvania",73447,38340,2001,1762,2010,1219,642,328,338,1487,2425,2413,2372,2245,2520,2976,2984,1213,1713,1216,1630,1839,1232,943,832,35107,1607,1806,1907,1290,660,354,139,1003,1666,1707,1811,1806,2368,2288,3059,1001,1461,1072,1358,2275,1372,1215,1882
635,0500000US42125,"Washington County, Pennsylvania",206865,101602,5182,6450,5530,3467,2665,1263,1036,4193,5748,6138,6465,5446,6347,6972,6503,2993,5870,2914,3821,5018,3373,2289,1919,105263,4955,6925,4070,3576,2727,983,1213,3768,5130,5772,5682,6460,6508,7099,6802,3895,5370,3005,4623,5288,4779,2585,4048
636,0500000US42129,"Westmoreland County, Pennsylvania",348899,171269,8069,9364,9166,6303,3919,1714,1625,5699,10294,9495,11246,7513,10945,12207,12821,5709,9085,5077,7309,9126,6388,3396,4799,177630,7421,8513,9002,5916,3440,2432,1144,5586,9121,8663,10347,9107,10741,12357,12624,5967,10290,5900,8313,9920,8017,5644,7165
637,0500000US42133,"York County, Pennsylvania",449058,222750,13064,14438,14519,9764,5346,2914,2198,8070,14203,14259,13685,13455,14214,15332,14759,6626,9564,5669,7306,9448,6222,4891,2804,226308,12090,11531,15381,7852,5515,1643,2609,7601,13325,14321,13530,13786,14781,15165,16500,6019,10041,5913,7720,11075,7934,6476,5500
638,0500000US44003,"Kent County, Rhode Island",164292,79410,3923,4264,3907,3221,2020,510,164,3590,6020,5105,4566,5301,4754,6485,6330,2700,3130,1930,2939,3527,2380,915,1729,84882,4288,3261,4744,2457,1257,1538,345,2424,5410,5134,5110,4351,6195,6405,6997,3034,3619,2559,3037,4344,2937,2090,3346
639,0500000US44005,"Newport County, Rhode Island",82082,39892,2046,853,2541,1071,1188,86,441,2467,2810,2684,1857,2516,2154,2758,3501,1094,1492,1404,1082,2255,2132,751,709,42190,1566,1185,2558,1162,1209,481,297,1836,2749,2251,2199,2199,2573,2651,3353,1394,1990,1312,1561,3072,1625,1440,1527
640,0500000US44007,"Providence County, Rhode Island",638931,312558,18426,15856,20725,12293,10369,6720,4255,11810,25939,24848,22411,17142,18710,20107,19929,8169,12081,6727,8844,10743,7806,4449,4199,326373,18050,16368,18701,10590,10361,6877,4717,11234,25457,23588,22898,16698,19471,21310,19199,9912,14006,9384,8672,12587,10608,6025,9660
641,0500000US44009,"Washington County, Rhode Island",125577,61451,2298,1555,4473,2335,2559,1401,1159,2923,3321,3076,3089,2866,3421,4126,5036,1406,4150,1807,2613,3091,2562,842,1342,64126,2497,3331,1967,1932,2873,1977,1551,2018,3131,2855,3726,2162,3580,4501,5140,2845,3361,2315,2368,3715,2437,1174,2670
642,0500000US45003,"Aiken County, South Carolina",170872,80809,4730,4560,6369,2181,2537,1551,761,2508,5458,4806,5506,3703,4491,5466,6265,1954,3066,2158,2982,4218,2967,1299,1273,90063,4820,5515,5263,3427,2350,925,1282,2103,5946,6486,6124,4213,4996,5541,6284,2876,3327,2139,2922,5628,3973,1470,2453
643,0500000US45007,"Anderson County, South Carolina",202558,96852,5299,5683,7185,4613,3113,618,1349,3440,5867,5598,6623,5359,6267,6232,6434,2408,4294,1754,3811,4593,3480,1225,1607,105706,5850,5201,7336,4424,2560,1597,1334,3406,6714,6183,5594,6842,6383,6720,7047,3257,4376,2343,3594,5970,3367,3789,1819
644,0500000US45013,"Beaufort County, South Carolina",192122,93420,4443,3927,6009,2667,2053,1960,1402,4362,6407,5297,4267,4259,4249,4939,6306,1823,3950,3869,3692,6978,4418,4229,1914,98702,5154,3793,5875,3452,3150,802,1272,3115,4001,4794,4815,4416,6182,4991,7404,2300,4520,3871,5214,8093,6231,2963,2294
645,0500000US45015,"Berkeley County, South Carolina",227907,114249,7745,8130,8107,4651,4180,1509,1327,5144,8510,8745,8030,6524,6759,6655,7201,2190,4190,2348,3034,3981,2789,1650,850,113658,6216,7234,6988,5001,3184,1263,1060,3064,8521,8682,7354,7720,7901,7186,7660,2997,4477,2426,3898,4584,3936,1262,1044
646,0500000US45019,"Charleston County, South Carolina",411406,198545,12012,12188,10247,6485,5378,3021,3019,7265,16152,17044,15477,11959,11745,11210,15162,3841,5925,3362,6262,9833,5029,3153,2776,212861,11788,10567,11762,5748,5473,3106,3339,5699,17040,17558,13933,14495,11870,12506,15676,6116,7326,3919,7074,12416,5859,4678,4913
647,0500000US45031,"Darlington County, South Carolina",66618,31866,1680,2396,2462,1405,1621,565,766,432,1554,1690,1285,2328,2286,1502,2181,1195,949,787,861,1828,842,795,456,34752,2171,968,2279,1301,716,12,638,2117,1711,2649,1661,1671,1950,2409,2418,1101,1559,540,2034,1706,1545,984,612
648,0500000US45035,"Dorchester County, South Carolina",162809,78698,4314,5585,6389,3147,1262,839,1223,2871,5798,5767,5072,5844,4556,5385,5705,1282,2706,1290,2092,3486,2243,871,971,84111,5317,6910,4071,3586,2230,368,817,2508,5847,5360,6988,5466,5082,5789,5488,1972,3371,1773,3065,3613,1996,1264,1230
649,0500000US45041,"Florence County, South Carolina",138293,65210,4367,4614,4301,3389,1497,871,711,2679,4437,4255,2962,4742,3793,3881,3461,2089,2920,2144,1984,2592,2049,951,521,73083,4207,3563,5607,2215,1361,790,1280,2734,4708,4993,3576,4978,4432,4731,5509,2124,2465,1767,2220,4059,2924,1335,1505
650,0500000US45045,"Greenville County, South Carolina",523542,253957,16706,17099,17714,9737,6142,3540,3332,8582,18767,18198,17447,15792,16571,15866,15862,6181,9082,4501,7406,10986,7864,3861,2721,269585,15282,17223,16431,9876,6790,3070,2703,10710,18711,18133,19363,14371,17888,16848,18140,8060,8983,5860,8694,12685,9211,5584,4969
651,0500000US45047,"Greenwood County, South Carolina",70811,33222,2751,2109,2080,1099,1103,999,195,1480,2027,1606,1729,2087,2014,1950,1733,651,1106,1616,1292,1224,1024,896,451,37589,1605,2525,1975,1521,682,569,569,761,3395,2259,2481,2556,1936,2033,2892,771,1291,1216,850,2016,1311,851,1524
652,0500000US45051,"Horry County, South Carolina",354081,169733,7869,9430,9408,4765,3847,2062,3017,3791,9801,9291,9504,9680,9599,10331,12176,5246,8149,6411,7388,13652,8270,3697,2349,184348,7755,7732,10341,5473,3895,2427,2418,3853,10512,9987,9606,10278,10589,11866,14291,5899,10705,5822,10218,14311,8610,4369,3391
653,0500000US45055,"Kershaw County, South Carolina",66551,31565,1333,3162,1481,1420,930,462,260,1064,2115,1422,1654,1922,1945,2387,2053,1036,1454,805,1567,1415,829,478,371,34986,2514,1938,2271,1235,768,189,114,887,1689,2262,3549,1419,1963,2194,2505,822,1694,1319,1310,1543,921,796,1084
654,0500000US45057,"Lancaster County, South Carolina",98012,45747,2674,3329,1837,1541,1382,313,228,1298,2661,2314,4163,2795,3961,2356,2741,1325,1572,657,2027,2967,1702,475,1429,52265,3169,4039,2627,1869,1035,218,270,1720,2863,3017,4018,2314,3141,3081,4068,1490,1829,779,2212,3404,1646,2281,1175
655,0500000US45059,"Laurens County, South Carolina",67493,33405,2318,1915,2658,1229,1579,435,188,1370,1552,2007,2471,1564,2197,1877,2733,749,1026,853,1223,1214,1567,378,302,34088,1597,2162,1935,993,781,353,133,958,1951,2973,1966,1561,2042,2663,2525,1022,1540,920,913,1891,1427,791,991
656,0500000US45063,"Lexington County, South Carolina",298750,144058,8028,7858,13103,5130,3385,2111,1663,4208,10075,9607,9393,9530,9328,10318,10276,2847,6170,2522,3844,6752,3832,2450,1628,154692,8219,10163,10029,6311,3164,2159,1873,3937,9941,10360,10998,8665,10849,9703,9786,4068,7158,3507,5198,7489,5038,2541,3536
657,0500000US45073,"Oconee County, South Carolina",79546,38765,1531,2543,2478,1385,732,390,495,1043,3018,1928,1819,1810,2212,2609,3870,1165,1277,884,1410,2787,2091,681,607,40781,1731,2416,2701,1396,678,496,184,1419,1923,2505,1658,2036,2123,2437,3511,1804,1218,1348,1334,3738,2148,1179,798
658,0500000US45075,"Orangeburg County, South Carolina",86175,40184,2001,2971,2959,1648,593,474,428,2551,2575,2109,2046,1866,2167,2628,1780,1439,2474,1569,1267,1820,1107,786,926,45991,2440,2564,3003,1636,1933,612,839,1069,2800,2529,1521,3281,2503,2791,2701,1500,2418,1506,1819,2330,1757,1062,1377
659,0500000US45077,"Pickens County, South Carolina",126884,62718,3714,3267,2892,1893,3652,2182,1451,4882,4644,3453,3194,3744,3468,3434,4036,1480,1751,1173,1795,2702,2072,1396,443,64166,3200,3008,3684,1911,3258,2552,1256,3585,3733,3819,3830,2290,3909,3891,4440,1275,2434,1942,2275,2502,1756,2238,1378
660,0500000US45079,"Richland County, South Carolina",415759,199895,12240,11064,14058,7900,12177,4858,4652,11157,16590,13312,13342,11042,11765,11267,8878,6510,5955,2321,4611,8014,4149,2390,1643,215864,11541,10102,14460,7728,11792,4213,5580,8741,16389,14521,14853,12656,12851,12365,14550,5072,5935,4208,7918,7487,6302,3805,2795
661,0500000US45083,"Spartanburg County, South Carolina",319785,155121,10148,10208,11282,6096,4454,3052,1493,5661,11018,10034,8922,10828,9255,10221,10377,2901,6662,3086,4783,6327,3945,2009,2359,164664,9534,9889,10344,6211,3897,1367,3586,5432,11975,10290,10081,9505,10687,10931,10094,4386,7076,3565,5741,7565,4754,3157,4597
662,0500000US45085,"Sumter County, South Carolina",106721,52446,4438,3860,3479,1631,2112,389,1249,1760,4089,3231,3438,3066,3023,2401,4506,885,1033,1316,1885,1745,1588,761,561,54275,2595,3292,3478,2589,1011,496,671,2500,3990,3424,3641,2640,3031,3295,4391,923,1984,1295,1725,2849,1516,1555,1384
663,0500000US45091,"York County, South Carolina",280979,135204,8388,8777,11288,5513,3230,1379,1768,4221,8329,9022,9944,9314,9782,8835,7942,3025,5706,2681,2927,6249,3609,1437,1838,145775,8198,10290,9444,5617,3664,2651,1821,3412,8630,9871,10745,9345,10658,9808,9778,3961,4566,2857,4224,7368,4119,2743,2005
664,0500000US46099,"Minnehaha County, South Dakota",193134,98935,7195,6760,7866,4367,2232,966,1131,3972,8089,6827,8101,5459,5798,6510,6308,1904,3617,2265,2719,3082,1704,1420,643,94199,6571,6419,6017,3511,2146,547,743,4095,7093,6832,7361,4795,5725,5825,7110,1492,3466,2230,2383,3811,2674,1500,1853
665,0500000US46103,"Pennington County, South Dakota",113775,57880,3580,4434,3537,2452,1150,640,396,2637,4003,3581,3197,3078,3063,3362,4816,1464,2371,1309,2123,3083,1380,1085,1139,55895,3261,2530,4204,2043,1260,420,214,2557,2892,3935,3518,2995,3173,3201,4220,955,2904,2282,1587,3213,1596,1058,1877
666,0500000US47001,"Anderson County, Tennessee",76978,37382,1880,2043,2329,1507,1167,297,569,1114,2652,2106,2075,2194,2723,2594,2583,1161,1386,529,1524,2010,1299,666,974,39596,1940,2500,2058,1324,512,444,630,906,2255,2446,2344,1927,2827,2716,3151,767,1715,1169,1469,2591,975,1598,1332
667,0500000US47009,"Blount County, Tennessee",133088,64304,3338,3907,3842,2615,1591,316,647,2361,4197,4039,3492,3565,4489,4388,4803,2264,2043,1828,2738,3097,2418,1497,829,68784,3454,2810,4756,2225,1640,838,1025,1677,3880,4203,3716,3601,4879,4680,5073,2292,2382,2916,1860,4451,3577,1415,1434
668,0500000US47011,"Bradley County, Tennessee",108110,52245,3042,2886,3308,2763,1195,892,634,1532,3787,3564,4078,2876,3325,3724,3591,1201,1757,768,1887,2252,1664,996,523,55865,3194,3990,2105,2353,1421,807,931,1691,4183,3140,3599,3410,3599,3454,3688,1571,2280,674,2286,2792,1820,1734,1143
669,0500000US47037,"Davidson County, Tennessee",694144,334552,23449,17555,21272,10310,8868,3759,3881,15639,35429,33474,24422,23034,20223,19475,19256,7684,10402,6244,7630,10069,5633,4447,2397,359592,22610,19238,18726,9894,8866,5037,4592,16553,39524,34574,28330,19687,20016,19452,22535,9163,10316,7759,9378,12400,9253,6571,5118
670,0500000US47059,"Greene County, Tennessee",69069,34191,1696,2505,1237,1957,774,444,429,1025,2047,1915,1467,2731,2322,2194,2130,572,2035,667,1928,1420,1359,849,488,34878,1603,1534,2354,422,1000,264,586,868,1875,1882,2536,1365,2445,2713,2422,1313,1358,842,1370,2592,1258,1391,885
671,0500000US47065,"Hamilton County, Tennessee",367804,178403,10994,11584,10930,6475,4192,2509,1456,7136,14139,12804,11736,10876,11326,10749,11229,4428,7185,4119,5486,8082,4888,2983,3097,189401,9863,8439,11600,6538,5386,3614,1895,5985,13556,12965,11683,12009,11755,11418,11783,5672,8375,4570,6214,9109,6321,4435,6216
672,0500000US47093,"Knox County, Tennessee",470313,226544,13571,12822,14930,7603,7176,5672,5240,9725,16992,14951,14550,14859,14235,14057,14843,5875,6877,4722,6458,9262,5000,3215,3909,243769,13098,13064,14099,9250,6349,3622,3243,13866,17044,16328,15019,15046,14913,14296,16552,6643,8128,5396,7096,11722,7988,5643,5364
673,0500000US47113,"Madison County, Tennessee",97984,45763,3652,3447,2871,697,1332,332,808,2768,2597,2655,2937,2399,3016,2399,3335,955,2017,742,1773,2367,1160,887,617,52221,2317,2599,4526,1781,1562,1277,975,1673,3343,2735,2903,3122,3084,3013,4323,1264,2014,1927,1265,2354,1934,1214,1016
674,0500000US47119,"Maury County, Tennessee",96387,47468,3191,2631,3492,2841,1167,681,579,1202,3291,3520,3241,2286,3149,2954,2907,1318,1967,1094,1024,2373,1167,1248,145,48919,3242,2658,3455,882,769,329,490,1979,3103,3917,2776,3002,3162,3099,4052,1404,1881,971,1527,2731,1742,799,949
675,0500000US47125,"Montgomery County, Tennessee",208993,103789,9298,7311,8084,4540,3999,1299,1129,5688,10483,9525,7903,5910,5412,5345,4395,1874,2677,1829,2424,1969,1385,592,718,105204,8542,6813,8241,3391,3540,1434,2283,3924,10079,7290,9305,6633,5550,5877,5856,2007,3149,2112,1760,3035,1258,1499,1626
676,0500000US47141,"Putnam County, Tennessee",80245,39304,1819,1532,3282,1308,1418,478,1825,2235,2944,2613,1400,3043,2348,2479,2477,980,1035,637,1057,1898,1395,654,447,40941,2384,2959,1811,1195,1207,1113,1214,1478,2901,2144,2379,2297,2465,2669,1856,1340,2025,998,1047,1968,1333,1106,1052
677,0500000US47147,"Robertson County, Tennessee",71813,35843,2320,2352,2873,1342,1045,202,683,865,2473,2314,2959,1788,2315,2221,3114,675,1228,822,1182,1198,1191,395,286,35970,2057,2097,2311,1443,623,69,735,992,2539,2303,2480,2187,2580,2508,2619,1579,720,1082,938,1583,1706,299,520
678,0500000US47149,"Rutherford County, Tennessee",332285,163504,10680,10188,13636,7034,6981,3907,3625,7835,11314,11169,10318,11926,11612,10061,10326,3161,3948,2625,2978,4515,2786,1432,1447,168781,10762,8955,13704,6574,5343,3221,3709,7956,12058,11760,11329,13136,11032,10348,9280,5146,4496,2270,4127,6074,3779,2087,1635
679,0500000US47155,"Sevier County, Tennessee",98250,47070,2818,2283,3123,1796,1381,769,869,1093,2865,2396,2564,2974,3191,3066,4024,964,1898,1213,1655,2816,2027,534,751,51180,2945,2662,2974,1471,771,595,555,1572,3967,2638,2538,3020,3629,3271,3364,2366,1840,1357,2702,2727,1702,1243,1271
680,0500000US47157,"Shelby County, Tennessee",937166,445462,32825,33367,33025,19513,11482,5994,6385,18252,36212,31855,30333,24715,27140,26728,26820,11179,15483,8901,11434,15327,9737,4170,4585,491704,32057,31085,33013,17487,11435,5019,7856,18371,38545,34447,32081,29440,30936,29806,31856,12226,19045,9527,14005,21795,13506,9505,8661
681,0500000US47163,"Sullivan County, Tennessee",158348,77505,4095,3856,5427,2589,1897,597,638,3054,4910,4404,3924,4773,5228,5648,5162,2377,3408,1885,2512,4496,3624,1417,1584,80843,3504,3661,4076,2666,1436,734,984,2658,4718,4823,3773,4959,5448,6276,5571,2611,3402,1934,2898,5601,4035,2695,2380
682,0500000US47165,"Sumner County, Tennessee",191283,93571,5980,6960,6325,4085,2891,1108,1001,2616,5585,5997,6537,5859,6620,6418,6310,2471,3360,1556,2868,3897,2940,1536,651,97712,5247,6765,5816,3470,2357,872,912,3183,5749,5981,5539,7792,6748,6944,7256,2604,3086,1949,3186,4605,3902,1863,1886
683,0500000US47179,"Washington County, Tennessee",129375,63202,3467,2687,3705,1989,2589,1939,1068,2380,4697,4330,3004,3974,4026,3762,4756,1487,2479,1636,1992,2973,1661,1234,1367,66173,3031,3885,3300,2013,2008,1392,972,3940,4470,4028,3208,3645,3972,4351,4219,2173,2887,1019,2468,3600,2366,1964,1262
684,0500000US47187,"Williamson County, Tennessee",238412,116739,6326,9291,10876,5951,3715,1258,1011,3591,4545,5130,8004,10238,9857,7606,7668,3153,3932,2138,2516,4993,2222,1634,1084,121673,6717,9110,8953,6708,3066,712,1415,3750,4646,6151,9103,10262,9231,8349,7855,3861,4163,3410,2310,5069,3427,1428,1977
685,0500000US47189,"Wilson County, Tennessee",144657,71094,4391,4878,5801,2762,1537,1926,374,1766,3927,4566,4942,5251,5125,4734,5195,1836,1932,1734,1999,2933,2059,611,815,73563,3609,5289,4911,2293,1656,789,291,1920,4359,5337,5389,5001,5280,4517,5649,1267,2919,1968,2885,3172,2267,1686,1109
686,0500000US48005,"Angelina County, Texas",86715,42089,2783,2402,3719,2240,980,786,47,2226,2457,2512,3114,3045,1513,2707,2202,1208,1542,694,996,2217,1235,833,631,44626,3004,3970,1955,1984,1044,170,651,1636,2865,3384,2109,3456,1968,2801,3438,766,1211,1388,1235,2369,1343,1086,793
687,0500000US48021,"Bastrop County, Texas",88723,44009,3065,4336,2219,1651,513,873,208,2407,3292,3194,3328,2014,2037,2481,3689,1479,1157,1241,1034,2085,994,82,630,44714,2740,2004,4158,2039,1021,1513,1178,1841,1767,2515,1724,3786,2406,2220,2857,1026,2141,1498,1573,2355,992,997,363
688,0500000US48027,"Bell County, Texas",362924,181222,15121,13583,14438,7931,7352,3500,2819,8716,16993,13934,12148,11594,9262,8775,9140,3546,4221,2464,3854,5059,2769,2017,1986,181702,14780,12744,13856,7293,4833,2326,3045,8061,15706,13762,13138,11015,10487,9329,10009,3793,5324,3046,4196,5738,3604,2768,2849
689,0500000US48029,"Bexar County, Texas",2003554,989962,70521,72056,73007,42396,30746,16572,15357,42848,84451,80564,75350,62575,60760,54855,55484,17895,27590,15785,22190,28771,20293,9691,10205,1013592,67923,68497,70405,41636,28557,15177,11622,43674,78956,76708,71717,65434,64057,56989,54843,21194,35310,19654,26749,34990,23832,16430,19238
690,0500000US48037,"Bowie County, Texas",93245,45929,2393,3371,2625,2162,1248,212,241,2492,3791,2655,3573,2089,3365,3688,2858,656,1877,1312,801,1949,839,775,957,47316,3309,2751,3955,1527,799,625,177,2462,2744,2745,2866,2194,3142,3056,3066,955,1893,934,1596,2387,1860,1060,1213
691,0500000US48039,"Brazoria County, Texas",374264,188319,12759,13082,15713,7464,4825,2052,1875,6384,14060,13413,15442,12486,13970,12186,12650,3639,5560,4428,2726,6545,3651,2026,1383,185945,11933,11855,16081,8613,4183,2993,1760,6881,10300,12749,16065,12186,14251,9596,12024,5635,4892,3940,3879,6663,4423,1915,3128
692,0500000US48041,"Brazos County, Texas",229211,114526,6660,7154,5888,3223,7431,6336,4168,12361,10490,7956,7610,5975,4598,5508,5036,1916,2527,1545,1565,2845,1818,725,1191,114685,7462,6730,6395,3773,7506,5267,4651,10125,9654,6608,7152,6508,5670,5262,4897,1937,3125,2366,2207,2548,1678,1492,1672
693,0500000US48061,"Cameron County, Texas",423163,206353,16684,17267,19078,11567,7038,3058,1087,11693,14749,12306,11856,13217,11303,10617,9462,4181,5222,3515,4264,7398,5037,3165,2589,216810,16118,16088,19063,10756,6862,3193,2094,9857,14099,12143,12105,13517,13761,11901,11722,3953,6848,4054,6261,7620,5690,4169,4936
694,0500000US48085,"Collin County, Texas",1034730,509995,32125,33723,44791,24877,13417,5473,8327,16381,31520,33666,39266,40665,41487,35313,31720,12598,13390,8474,10292,14526,9260,5629,3075,524735,30687,36548,38823,23717,12245,5604,5180,18688,30982,36158,40201,44233,41417,35797,30699,13326,15111,10330,13579,15762,11260,7741,6647
695,0500000US48091,"Comal County, Texas",156209,76419,4247,4507,5475,3079,1529,837,938,2691,3944,5258,3953,5287,5651,5127,6068,1272,3386,2170,2755,3609,2697,868,1071,79790,4645,4872,5069,3094,1660,1057,934,2332,4606,4538,3650,5794,5441,4979,6030,1492,4493,1731,3423,4101,2756,1355,1738
